"cell_id","mother_id","cell_birth_timepoint"
"1-6-1","root",5
"1-7-1","root",5
"1-7-2","root",5
"2-11-1","root",5
"2-12-1","root",5
"3-15-1","root",5
"3-17-2","root",5
"3-21-2","root",5
"1-1-1","root",5
"1-2-1","root",5
"1-3-1","root",5
"1-4-4","root",5
"1-5-2","root",5
"2-8-2","root",5
"2-9-1","root",5
"2-10-1","root",5
"2-10-2","root",5
"2-13-1","root",5
"2-14-1","root",5
"3-16-1","root",5
"3-19-1","root",5
"3-20-1","root",5
"3-20-3","root",5
"3-20-4","root",5
"3-18-1","root",5
"3-16-2","3-16-1",5
"3-18-3","3-18-1",65
"1-7-5","1-7-1",95
"1-6-3","1-6-1",105
"3-17-3","3-17-2",110
"3-21-3","3-21-2",110
"1-7-6","1-7-2",120
"3-15-3","3-15-1",120
"3-17-4","3-17-2",165
"1-1-2","1-1-1",5
"1-7-3","1-7-2",5
"2-8-3","2-8-2",5
"3-20-2","3-20-1",5
"1-3-2","1-3-1",10
"3-20-9","3-20-3",10
"3-18-2","3-18-1",20
"3-19-3","3-19-1",20
"2-12-2","2-12-1",40
"1-1-3","1-1-1",50
"1-3-3","1-3-1",55
"3-20-12","3-20-3",65
"3-20-15","3-20-4",75
"2-11-3","2-11-1",80
"1-4-5","1-4-4",85
"1-1-5","1-1-1",105
"2-8-5","2-8-2",120
"3-20-17","3-20-1",120
"1-5-6","1-5-2",125
"1-3-5","1-3-1",130
"3-19-6","3-19-1",130
"3-20-18","3-20-4",130
"2-11-4","2-11-1",135
"2-12-4","2-12-1",140
"1-3-6","1-3-1",150
"1-7-7","1-7-1",150
"1-2-2","1-2-1",5
"1-6-2","1-6-1",5
"2-9-2","2-9-1",5
"2-10-5","2-10-2",5
"2-11-2","2-11-1",5
"2-13-2","2-13-1",5
"2-14-2","2-14-1",5
"2-14-3","2-14-1",10
"1-2-3","1-2-1",20
"2-10-6","2-10-1",20
"2-13-3","2-13-1",35
"2-9-3","2-9-1",40
"2-14-4","2-14-1",50
"3-20-11","3-20-1",50
"2-10-8","2-10-2",65
"1-2-5","1-2-1",70
"2-10-9","2-10-1",70
"2-13-5","2-13-1",95
"2-14-7","2-14-1",95
"2-9-5","2-9-1",110
"2-10-11","2-10-2",110
"2-10-14","2-10-1",125
"3-20-19","3-20-3",130
"2-13-6","2-13-1",135
"1-2-10","1-2-1",140
